Name,Type,Description,Link,Functional Category,Status,OS Min Compatible,Measure Type,Toolkit Wrapper,Source Repo
Add and Apply ScheduleInterval or ScheduleFile From File,Ruby measure,This measure adds a schedule object from a file of interval data and can replace an existing schedule in the file with it. It also lets you specify which column from the CSV should be read so you can store multiple columns of data in one file. Allows beginning rows to be ignored in case there is...Repo: AMBER-Group-CSM/openstudio-amber-measures-gem,https://bcl.nrel.gov/content/6f9422b4-dd1a-4367-be65-7685eb38a14e,,,,,,
Add and Apply Load and Schedule from File,Ruby measure,"This measure imports electric or lighting load data from a CSV file and applies it to a selected load in the OpenStudio model as a ScheduleInterval. The measure offers options to normalize the data by floor area, invert the data if it represents energy consumption as negative values, and replace...Repo: AMBER-Group-CSM/openstudio-amber-measures-gem",https://bcl.nrel.gov/content/f97be49a-a272-41e9-9d92-c2b2a082d556,,,,,,
Choose Constructions for SurfaceProperty:HeatTransferAlgorithm,Ruby measure,Presents a checkbox for each Construction in the model so you can pick which ones to tag with a SurfaceProperty:HeatTransferAlgorithm:Construction and which algorithm to use.Repo: AMBER-Group-CSM/openstudio-amber-measures-gem,https://bcl.nrel.gov/content/4e89d54b-9372-4234-a37d-15f27e2d55d8,,,,,,
Add EMPD Material Properties PreDefined,Ruby measure,Adds effective moisture penetration depth (EMPD) Heat Balance Model properties for a selected material in the model.Repo: AMBER-Group-CSM/openstudio-amber-measures-gem,https://bcl.nrel.gov/content/82ecc263-c3d4-4907-b745-e23df6ed781b,,,,,,
Thermal Bridging and Derating - TBD,Ruby measure,Derates opaque constructions from major thermal bridges.Repo: rd2/tbd,https://bcl.nrel.gov/content/8890787b-8c25-4dc8-8641-b6be1b6c2357,,,,,,
Create and Configure Internal Mass Definitions,Ruby measure,Create a new internal mass definition using a layered construction and assign to matching spaces.Repo: AMBER-Group-CSM/openstudio-amber-measures-gem,https://bcl.nrel.gov/content/a191fa40-5014-4021-b6b4-09badd1bb5e8,,,,,,
TimeSeries Objective Function,Ruby measure,Creates Objective Function from Timeseries DataRepo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/6804217d-4737-45f3-82df-b81393c29ce4,,,,,,
Timeseries Plot,Ruby measure,Creates an interactive timeseries plot of selected variable.Repo: NREL/openstudio-calibration-gem,https://bcl.nrel.gov/content/6804217d-4737-45f3-82df-b81393c29ce7,,,,,,
Add Overhangs by Projection Factor,Ruby measure,"Add overhangs by projection factor to specified windows. The projection factor is the overhang depth divided by the window height. This can be applied to windows by the closest cardinal direction. If baseline model contains overhangs made by this measure, they will be replaced. Optionally the...Repo: NREL/openstudio-ee-gem",https://bcl.nrel.gov/content/1e29e117-3916-4368-b24d-75da54045956,,Verified,2.0.0,ModelMeasure,src/openstudio_toolkit/tasks/measures/add_overhangs_by_projection_factor.py,NREL/openstudio-ee-gem
Improve Fan Belt Efficiency,Ruby measure,"The assessment team observed opportunities for fan belt improvements on HVAC fan drives. These motors are asynchronous induction motors.
Improvements in belt efficiency result in energy savings at the motor. The three common belt efficiency measures are belt tightening (1%-5% savings...Repo: NREL/openstudio-ee-gem",https://bcl.nrel.gov/content/ebeca0aa-a432-4283-a714-17116f7c8f8c,,,,,,
